EQUIPMENT,ORGANIZATION,YEAR MADE,QUANTITY,,,,,
FORD CREW CAB PICKUP 4X2,VICE CHIEF OF THE DEFENCE STAFF,2017,1,,,,,
FORD CREW CAB PICKUP 4X4,CANADIAN ARMY,2011,2,,,,,
FORD CREW CAB PICKUP 4X4,CANADIAN ARMY,2012,1,,,,,
FORD CREW CAB PICKUP 4X4,CANADIAN ARMY,2015,24,,,,,
FORD CREW CAB PICKUP 4X4,CANADIAN ARMY,2016,48,,,,,
FORD CREW CAB PICKUP 4X4,ASSISTANT DEPUTY MINISTER (MATERIEL),2011,2,,,,,
FORD CREW CAB PICKUP 4X4,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2016,6,,,,,
FORD CREW CAB PICKUP 4X4,MILITARY PERSONNEL COMMAND,2011,1,,,,,
FORD CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2008,1,,,,,
FORD CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2012,1,,,,,
FORD CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2015,6,,,,,
FORD CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2016,34,,,,,
FORD CREW CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2011,5,,,,,
FORD CREW CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2012,1,,,,,
FORD CREW CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2015,14,,,,,
FORD CREW CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2016,11,,,,,
FORD CREW CAB PICKUP 4X4,VICE CHIEF OF THE DEFENCE STAFF,2011,1,,,,,
FORD CREW CAB PICKUP 4X4,VICE CHIEF OF THE DEFENCE STAFF,2015,3,,,,,
FORD CREW CAB PICKUP 4X4,VICE CHIEF OF THE DEFENCE STAFF,2016,1,,,,,
FORD CREW CAB TRUCK 4X4,CANADIAN ARMY,2013,18,,,,,
FORD CREW CAB TRUCK 4X4,CANADIAN JOINT OPERATIONS COMMAND,2013,4,,,,,
FORD CREW CAB TRUCK 4X4,MILITARY PERSONNEL COMMAND,2014,3,,,,,
FORD CREW CAB TRUCK 4X4,ROYAL CANADIAN AIRFORCE,2013,1,,,,,
FORD CREW CAB TRUCK 4X4,ROYAL CANADIAN AIRFORCE,2014,2,,,,,
FORD CREW CAB TRUCK 4X4,VICE CHIEF OF THE DEFENCE STAFF,2011,1,,,,,
FORD CREW CAB TRUCK 4X4,VICE CHIEF OF THE DEFENCE STAFF,2014,1,,,,,
FORD CROWN VIC AUTO SEDAN,CANADIAN ARMY,2008,3,,,,,
FORD CROWN VIC AUTO SEDAN,CANADIAN FORCE SUPPLY DEPOT,2006,1,,,,,
FORD CROWN VIC AUTO SEDAN,CANADIAN FORCE SUPPLY DEPOT,2007,1,,,,,
FORD CROWN VIC AUTO SEDAN,CANADIAN FORCE SUPPLY DEPOT,2008,4,,,,,
FORD CROWN VIC AUTO SEDAN,MILITARY PERSONNEL COMMAND,2001,2,,,,,
FORD CROWN VIC AUTO SEDAN,MILITARY PERSONNEL COMMAND,2002,1,,,,,
FORD CROWN VIC AUTO SEDAN,MILITARY PERSONNEL COMMAND,2004,2,,,,,
FORD CROWN VIC AUTO SEDAN,MILITARY PERSONNEL COMMAND,2005,1,,,,,
FORD CROWN VIC AUTO SEDAN,MILITARY PERSONNEL COMMAND,2007,6,,,,,
FORD CROWN VIC AUTO SEDAN,MILITARY PERSONNEL COMMAND,2008,6,,,,,
FORD CROWN VIC AUTO SEDAN,MILITARY PERSONNEL COMMAND,2009,7,,,,,
FORD CROWN VIC AUTO SEDAN,MILITARY PERSONNEL COMMAND,2010,4,,,,,
FORD CROWN VIC AUTO SEDAN,MILITARY PERSONNEL COMMAND,2011,3,,,,,
FORD CROWN VIC AUTO SEDAN,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
FORD CROWN VIC AUTO SEDAN,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
FORD CROWN VIC AUTO SEDAN,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
FORD CUTAWAY MULTISTOP TRUCK,MILITARY PERSONNEL COMMAND,2005,1,,,,,
FORD CUTAWAY MULTISTOP TRUCK,ROYAL CANADIAN NAVY,2005,1,,,,,
FORD CUTAWAY TRUCK 2T,CANADIAN ARMY,2010,2,,,,,
FORD CUTAWAY TRUCK 2T,MILITARY PERSONNEL COMMAND,2010,1,,,,,
FORD CUTAWAY TRUCK 2T,VICE CHIEF OF THE DEFENCE STAFF,2010,1,,,,,
FORD DAVTAIR FIRETRUCK,CANADIAN ARMY,1997,1,,,,,
FORD DAVTAIR FIRETRUCK,CANADIAN FORCE SUPPLY DEPOT,1997,1,,,,,
FORD DAVTAIR FIRETRUCK,MILITARY PERSONNEL COMMAND,1997,1,,,,,
FORD DAVTAIR FIRETRUCK,ROYAL CANADIAN NAVY,1997,1,,,,,
FORD DIESEL CREW CAB PICKUP 4X4,CANADIAN ARMY,2015,2,,,,,
FORD DIESEL CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2014,11,,,,,
FORD DIESEL CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2015,8,,,,,
FORD DIESEL CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2016,3,,,,,
FORD DIESEL CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2017,1,,,,,
FORD DIESEL CREW CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2015,1,,,,,
FORD DIESEL PICKUP,CANADIAN ARMY,2014,2,,,,,
FORD DIESEL PICKUP,CANADIAN FORCE SUPPLY DEPOT,2006,1,,,,,
FORD DIESEL PICKUP,ROYAL CANADIAN AIRFORCE,2014,3,,,,,
FORD DUAL CREW CAB PICKUP 4X4,CANADIAN ARMY,2016,7,,,,,
FORD DUAL CREW CAB PICKUP 4X4,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2016,1,,,,,
FORD DUAL CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2014,5,,,,,
FORD DUAL CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2015,3,,,,,
FORD DUAL CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2016,9,,,,,
FORD DUAL CREW CAB PICKUP 4X4,ROYAL CANADIAN AIRFORCE,2017,5,,,,,
FORD DUAL CREW CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2014,1,,,,,
FORD DUAL CREW CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2015,1,,,,,
FORD DUAL CREW CAB PICKUP 4X4,ROYAL CANADIAN NAVY,2016,5,,,,,
FORD DUMP CREW CAB TRUCK 4X4,CANADIAN ARMY,2012,6,,,,,
FORD DUMP CREW CAB TRUCK 4X4,MILITARY PERSONNEL COMMAND,2012,2,,,,,
FORD DUMP TRUCK 3T,CANADIAN ARMY,2010,1,,,,,
FORD DUMP TRUCK 3T,MILITARY PERSONNEL COMMAND,2007,1,,,,,
FORD DUMP TRUCK 3T,ROYAL CANADIAN AIRFORCE,2003,1,,,,,
FORD DUMP TRUCK 3T,ROYAL CANADIAN AIRFORCE,2009,2,,,,,
FORD DUMP TRUCK 3T,ROYAL CANADIAN NAVY,2012,5,,,,,
FORD ECONOLINE CARGO VAN,CANADIAN ARMY,2011,1,,,,,
FORD ECONOLINE CARGO VAN,MILITARY PERSONNEL COMMAND,2011,2,,,,,
FORD ECONOLINE CARGO VAN,ROYAL CANADIAN AIRFORCE,2011,4,,,,,
FORD ECONOLINE CARGO VAN,ROYAL CANADIAN NAVY,2011,4,,,,,
FORD ECONOLINE CARGO VAN,VICE CHIEF OF THE DEFENCE STAFF,2011,1,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,CANADIAN ARMY,2006,4,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,CANADIAN ARMY,2012,1,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,CANADIAN ARMY,2013,5,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,CANADIAN FORCE SUPPLY DEPOT,2006,4,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2014,1,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,MILITARY PERSONNEL COMMAND,2014,2,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,ROYAL CANADIAN AIRFORCE,2006,1,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,ROYAL CANADIAN AIRFORCE,2014,1,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,ROYAL CANADIAN NAVY,2006,1,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,ROYAL CANADIAN NAVY,2010,2,,,,,
FORD ECONOLINE CARRY-ALL TRUCK,ROYAL CANADIAN NAVY,2012,1,,,,,
FORD ECONOLINE PANEL TRUCK,CANADIAN ARMY,2006,2,,,,,
FORD ECONOLINE PANEL TRUCK,MILITARY PERSONNEL COMMAND,2008,5,,,,,
FORD ECONOLINE PANEL TRUCK,ROYAL CANADIAN AIRFORCE,2006,5,,,,,
FORD ECONOLINE PANEL TRUCK,ROYAL CANADIAN AIRFORCE,2008,9,,,,,
FORD ECONOLINE PANEL TRUCK,ROYAL CANADIAN NAVY,2006,2,,,,,
FORD ECONOLINE TRUCK,MILITARY PERSONNEL COMMAND,2010,1,,,,,
FORD ECONOLINE TRUCK,ROYAL CANADIAN AIRFORCE,2010,1,,,,,
FORD ECONOLINE TRUCK,ROYAL CANADIAN NAVY,2010,1,,,,,
FORD ECONOLINE TRUCK,VICE CHIEF OF THE DEFENCE STAFF,2010,1,,,,,
FORD ECONOLINE TRUCK,VICE CHIEF OF THE DEFENCE STAFF,2011,1,,,,,
FORD EASSISTANT DEPUTY MINISTER (MATERIEL)E CROSSOVER SUV,CANADIAN ARMY,2013,3,,,,,
FORD EASSISTANT DEPUTY MINISTER (MATERIEL)E CROSSOVER SUV,ROYAL CANADIAN AIRFORCE,2012,1,,,,,
FORD EASSISTANT DEPUTY MINISTER (MATERIEL)E STATION WAGON,CANADIAN ARMY,2010,3,,,,,
FORD EASSISTANT DEPUTY MINISTER (MATERIEL)E STATION WAGON,CANADIAN ARMY,2011,2,,,,,
FORD EASSISTANT DEPUTY MINISTER (MATERIEL)E STATION WAGON,ROYAL CANADIAN AIRFORCE,2011,4,,,,,
FORD EMERGENCY RESPONSE VEHICLE,CANADIAN FORCE SUPPLY DEPOT,2006,9,,,,,
FORD ESCAPE HYBRID SUV,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
FORD ESCAPE SUV 1/4T 4X4,CANADIAN ARMY,2014,5,,,,,
FORD ESCAPE SUV 1/4T 4X4,CANADIAN ARMY,2015,2,,,,,
FORD ESCAPE SUV 1/4T 4X4,CANADIAN ARMY,2016,3,,,,,
FORD ESCAPE SUV 1/4T 4X4,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2012,1,,,,,
FORD ESCAPE SUV 1/4T 4X4,MILITARY PERSONNEL COMMAND,2013,1,,,,,
FORD ESCAPE SUV 1/4T 4X4,ROYAL CANADIAN AIRFORCE,2012,1,,,,,
FORD ESCAPE SUV 1/4T 4X4,ROYAL CANADIAN AIRFORCE,2014,2,,,,,
FORD ESCAPE SUV 1/4T 4X4,ROYAL CANADIAN NAVY,2012,2,,,,,
FORD ESCAPE SUV 1/4T 4X4,VICE CHIEF OF THE DEFENCE STAFF,2014,3,,,,,
FORD ESCAPE UTILITY TRUCK,CANADIAN ARMY,2011,7,,,,,
FORD ESCAPE UTILITY TRUCK,ASSISTANT DEPUTY MINISTER (MATERIEL),2011,1,,,,,
FORD ESCAPE UTILITY TRUCK,ROYAL CANADIAN NAVY,2011,1,,,,,
FORD EXCURSION CARRY-ALL TRUCK,CANADIAN ARMY,2004,1,,,,,
FORD EXPEDITION CARRY-ALL TRUCK,MILITARY PERSONNEL COMMAND,2011,1,,,,,
FORD EXPEDITION CARRY-ALL TRUCK,ROYAL CANADIAN AIRFORCE,2011,2,,,,,
FORD EXPEDITION CARRY-ALL TRUCK,ROYAL CANADIAN NAVY,2007,1,,,,,
FORD EXPEDITION CARRY-ALL TRUCK,ROYAL CANADIAN NAVY,2009,1,,,,,
FORD EXPEDITION SUV,CANADIAN FORCE SUPPLY DEPOT,2006,1,,,,,
FORD EXPEDITION SUV,MILITARY PERSONNEL COMMAND,2009,1,,,,,
FORD EXPEDITION SUV,ROYAL CANADIAN AIRFORCE,2009,2,,,,,
FORD EXPEDITION SUV 1/2T,CANADIAN ARMY,2011,1,,,,,
FORD EXPEDITION SUV 1/2T,CANADIAN ARMY,2012,2,,,,,
FORD EXPEDITION SUV 1/2T,CANADIAN ARMY,2016,7,,,,,
FORD EXPEDITION SUV 1/2T,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2016,1,,,,,
FORD EXPEDITION SUV 1/2T,ROYAL CANADIAN AIRFORCE,2016,4,,,,,
FORD EXPEDITION SUV 1/2T,ROYAL CANADIAN NAVY,2016,1,,,,,
FORD EXPEDITION SUV 1/2T,VICE CHIEF OF THE DEFENCE STAFF,2012,1,,,,,
FORD EXPEDITION SUV 1/2T 5 PAX,CANADIAN ARMY,2010,2,,,,,
FORD EXPEDITION SUV 1/2T 5 PAX,CANADIAN ARMY,2012,1,,,,,
FORD EXPEDITION SUV 1/2T 5 PAX,CANADIAN ARMY,2013,2,,,,,
FORD EXPEDITION SUV 1/2T 5 PAX,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2012,1,,,,,
FORD EXPEDITION SUV 1/2T 5 PAX,ROYAL CANADIAN AIRFORCE,2012,1,,,,,
FORD EXPEDITION SUV 1/2T 5 PAX,VICE CHIEF OF THE DEFENCE STAFF,2015,4,,,,,
FORD EXPEDITION SUV 1/2T 8 PAX,ROYAL CANADIAN NAVY,2014,1,,,,,
FORD EXPEDITION SUV 3/4T,CANADIAN ARMY,2010,1,,,,,
FORD EXPEDITION SUV 3/4T,CANADIAN ARMY,2013,1,,,,,
FORD EXPEDITION SUV 3/4T,CANADIAN ARMY,2015,4,,,,,
FORD EXPEDITION SUV 3/4T,CANADIAN ARMY,2016,83,,,,,
FORD EXPEDITION SUV 3/4T,CANADIAN ARMY,2017,22,,,,,
FORD EXPEDITION SUV 3/4T,CANADIAN JOINT OPERATIONS COMMAND,2013,1,,,,,
FORD EXPEDITION SUV 3/4T,CANADIAN JOINT OPERATIONS COMMAND,2016,2,,,,,
FORD EXPEDITION SUV 3/4T,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2016,4,,,,,
FORD EXPEDITION SUV 3/4T,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2017,1,,,,,
FORD EXPEDITION SUV 3/4T,MILITARY PERSONNEL COMMAND,2014,2,,,,,
FORD EXPEDITION SUV 3/4T,MILITARY PERSONNEL COMMAND,2017,1,,,,,
FORD EXPEDITION SUV 3/4T,ROYAL CANADIAN AIRFORCE,2014,2,,,,,
FORD EXPEDITION SUV 3/4T,ROYAL CANADIAN AIRFORCE,2016,1,,,,,
FORD EXPEDITION SUV 3/4T,ROYAL CANADIAN AIRFORCE,2017,1,,,,,
FORD EXPEDITION SUV 3/4T,ROYAL CANADIAN NAVY,2011,1,,,,,
FORD EXPEDITION SUV 3/4T,ROYAL CANADIAN NAVY,2016,3,,,,,
FORD EXPEDITION SUV 3/4T,ROYAL CANADIAN NAVY,2017,1,,,,,
FORD EXPEDITION SUV 3/4T,VICE CHIEF OF THE DEFENCE STAFF,2013,1,,,,,
FORD EXPEDITION SUV 3/4T,VICE CHIEF OF THE DEFENCE STAFF,2014,2,,,,,
FORD EXPEDITION SUV 3/4T,VICE CHIEF OF THE DEFENCE STAFF,2017,1,,,,,
FORD EXPEDITION UTILITY TRUCK,MILITARY PERSONNEL COMMAND,2007,3,,,,,
FORD EXPEDITION UTILITY TRUCK,VICE CHIEF OF THE DEFENCE STAFF,2017,4,,,,,
FORD EXPLORER POLICE 4X4,CANADIAN ARMY,2013,11,,,,,
FORD EXPLORER POLICE 4X4,CANADIAN ARMY,2014,4,,,,,
FORD EXPLORER POLICE 4X4,CANADIAN ARMY,2015,1,,,,,
FORD EXPLORER POLICE 4X4,CANADIAN ARMY,2016,3,,,,,
FORD EXPLORER POLICE 4X4,MILITARY PERSONNEL COMMAND,2013,1,,,,,
FORD EXPLORER POLICE 4X4,MILITARY PERSONNEL COMMAND,2016,1,,,,,
FORD EXPLORER POLICE 4X4,ROYAL CANADIAN AIRFORCE,2013,7,,,,,
FORD EXPLORER POLICE 4X4,ROYAL CANADIAN AIRFORCE,2014,5,,,,,
FORD EXPLORER POLICE 4X4,ROYAL CANADIAN AIRFORCE,2015,5,,,,,
FORD EXPLORER POLICE 4X4,ROYAL CANADIAN AIRFORCE,2016,1,,,,,
FORD EXPLORER POLICE 4X4,ROYAL CANADIAN NAVY,2013,2,,,,,
FORD EXPLORER POLICE 4X4,ROYAL CANADIAN NAVY,2016,1,,,,,
FORD EXPLORER POLICE 4X4,VICE CHIEF OF THE DEFENCE STAFF,2014,1,,,,,
FORD EXPLORER SUV 1/2T 4X2,CANADIAN ARMY,2015,2,,,,,
FORD EXPLORER SUV 1/2T 4X2,ROYAL CANADIAN AIRFORCE,2013,1,,,,,
FORD EXPLORER SUV 1/2T 4X2,ROYAL CANADIAN AIRFORCE,2014,1,,,,,
FORD EXPLORER SUV 1/2T 4X4,ASSISTANT DEPUTY MINISTER (INFRASTRUCTURE & ENVIRONMENT),2017,3,,,,,
FORD EXPLORER SUV 1/2T 4X4,CANADIAN ARMY,2015,11,,,,,
FORD EXPLORER SUV 1/2T 4X4,CANADIAN ARMY,2017,1,,,,,
FORD EXPLORER SUV 1/2T 4X4,ROYAL CANADIAN AIRFORCE,2017,8,,,,,
FORD EXPLORER SUV 1/2T 4X4,VICE CHIEF OF THE DEFENCE STAFF,2014,1,,,,,
FORD EXPLORER UTILITY TRUCK,CANADIAN ARMY,2009,1,,,,,
FORD EXPLORER UTILITY TRUCK,CANADIAN ARMY,2010,6,,,,,
FORD EXPLORER UTILITY TRUCK,ROYAL CANADIAN AIRFORCE,2008,2,,,,,
FORD EXPLORER UTILITY TRUCK,ROYAL CANADIAN AIRFORCE,2010,1,,,,,
FORD EXPLORER UTILITY TRUCK,VICE CHIEF OF THE DEFENCE STAFF,2010,1,,,,,
FORD EXTENDED BODY CARGO VAN,CANADIAN ARMY,2012,52,,,,,
FORD EXTENDED BODY CARGO VAN,CANADIAN ARMY,2013,48,,,,,
FORD EXTENDED BODY CARGO VAN,MILITARY PERSONNEL COMMAND,2010,3,,,,,
FORD EXTENDED BODY CARGO VAN,MILITARY PERSONNEL COMMAND,2012,7,,,,,
FORD EXTENDED BODY CARGO VAN,MILITARY PERSONNEL COMMAND,2013,2,,,,,
FORD EXTENDED BODY CARGO VAN,ROYAL CANADIAN AIRFORCE,2012,4,,,,,
FORD EXTENDED BODY CARGO VAN,ROYAL CANADIAN AIRFORCE,2013,6,,,,,
FORD EXTENDED BODY CARGO VAN,ROYAL CANADIAN NAVY,2012,18,,,,,
FORD EXTENDED BODY CARGO VAN,ROYAL CANADIAN NAVY,2013,11,,,,,
FORD EXTENDED BODY CARGO VAN,ROYAL CANADIAN NAVY,2014,16,,,,,
FORD EXTENDED BODY CARGO VAN,VICE CHIEF OF THE DEFENCE STAFF,2010,1,,,,,
FORD EXTENDED BODY CARGO VAN,VICE CHIEF OF THE DEFENCE STAFF,2012,4,,,,,
FORD EXTENDED BODY CARGO VAN,VICE CHIEF OF THE DEFENCE STAFF,2013,1,,,,,
FORD EXTENDED BODY PANEL TRUCK 11/2T,ROYAL CANADIAN AIRFORCE,2012,1,,,,,
FORD EXTENDED CAB 4X4 5 PAX,CANADIAN ARMY,2016,3,,,,,
FORD EXTENDED CAB 4X4 5 PAX,ROYAL CANADIAN AIRFORCE,2014,1,,,,,
FORD EXTENDED CAB 4X4 5 PAX,ROYAL CANADIAN AIRFORCE,2015,1,,,,,
FORD EXTENDED CAB 4X4 5 PAX,ROYAL CANADIAN AIRFORCE,2016,2,,,,,
FORD EXTENDED CAB PICKUP 1/2T 4X4,CANADIAN ARMY,2012,1,,,,,
FORD EXTENDED CAB PICKUP 1/2T 4X4,CANADIAN ARMY,2013,3,,,,,
FORD EXTENDED CAB PICKUP 1/2T 4X4,CANADIAN ARMY,2014,1,,,,,
FORD EXTENDED CAB PICKUP 1/2T 4X4,ASSISTANT DEPUTY MINISTER (MATERIEL),2013,1,,,,,
FORD EXTENDED CAB PICKUP 1/2T 4X4,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2013,1,,,,,
FORD EXTENDED CAB PICKUP 1/2T 4X4,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2014,1,,,,,
FORD EXTENDED CAB PICKUP 1/2T 4X4,MILITARY PERSONNEL COMMAND,2014,1,,,,,
FORD EXTENDED CAB PICKUP 1/2T 4X4,ROYAL CANADIAN AIRFORCE,2012,6,,,,,
FORD EXTENDED CAB PICKUP 1/2T 4X4,ROYAL CANADIAN AIRFORCE,2014,3,,,,,
FORD EXTENDED CAB PICKUP 4X2,CANADIAN ARMY,2010,1,,,,,
FORD EXTENDED CAB PICKUP 4X2,CANADIAN ARMY,2012,3,,,,,
FORD EXTENDED CAB PICKUP 4X2,CANADIAN ARMY,2013,10,,,,,
FORD EXTENDED CAB PICKUP 4X2,CANADIAN ARMY,2014,2,,,,,
FORD EXTENDED CAB PICKUP 4X2,CANADIAN ARMY,2015,1,,,,,
FORD EXTENDED CAB PICKUP 4X2,ROYAL CANADIAN AIRFORCE,2013,1,,,,,
FORD EXTENDED CAB PICKUP 4X2,ROYAL CANADIAN AIRFORCE,2014,2,,,,,
FORD EXTENDED CAB PICKUP 4X2,ROYAL CANADIAN AIRFORCE,2015,1,,,,,
FORD EXTENDED CAB PICKUP 4X2,ROYAL CANADIAN NAVY,2012,2,,,,,
FORD EXTENDED CAB PICKUP 4X2,VICE CHIEF OF THE DEFENCE STAFF,2013,1,,,,,
FORD FIESTA AUTO SEDAN,CANADIAN ARMY,2016,1,,,,,
FORD FIESTA AUTO SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2015,1,,,,,
FORD FLAT-BED TRUCK,CANADIAN ARMY,2005,1,,,,,
FORD FLAT-BED TRUCK 2 1/2T,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2002,1,,,,,
FORD FLAT-BED TRUCK 2.5T 4X4,ROYAL CANADIAN AIRFORCE,2015,3,,,,,
FORD FLAT-BED TRUCK 5T 4X4,ROYAL CANADIAN AIRFORCE,2015,2,,,,,
FORD FLAT-DECK TRUCK 7T,CANADIAN FORCE SUPPLY DEPOT,Unknown,1,,,,,
FORD FLAT-DECK TRUCK 7T,ROYAL CANADIAN AIRFORCE,1998,1,,,,,
FORD FLEX VAN 6/8 PAX,CANADIAN ARMY,2016,2,,,,,
FORD FLEX VAN 6/8 PAX,VICE CHIEF OF THE DEFENCE STAFF,2014,6,,,,,
FORD FLEX VAN 6/8 PAX,VICE CHIEF OF THE DEFENCE STAFF,2015,1,,,,,
FORD FLEX VAN 6/8 PAX,VICE CHIEF OF THE DEFENCE STAFF,2017,1,,,,,
FORD FOCUS AUTO SEDAN,CANADIAN ARMY,2013,4,,,,,
FORD FOCUS AUTO SEDAN,CANADIAN ARMY,2014,15,,,,,
FORD FOCUS AUTO SEDAN,CANADIAN ARMY,2015,1,,,,,
FORD FOCUS AUTO SEDAN,CANADIAN ARMY,2016,11,,,,,
FORD FOCUS AUTO SEDAN,ROYAL CANADIAN AIRFORCE,2014,3,,,,,
FORD FOCUS AUTO SEDAN,ROYAL CANADIAN NAVY,2012,3,,,,,
FORD FOCUS AUTO SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2013,2,,,,,
FORD FOCUS AUTO SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2014,2,,,,,
FORD FOCUS AUTO SEDAN LARGE,CANADIAN FORCE SUPPLY DEPOT,2008,1,,,,,
FORD FOCUS AUTO SEDAN LARGE,ROYAL CANADIAN NAVY,2009,1,,,,,
FORD FOCUS AUTO SEDAN LARGE,VICE CHIEF OF THE DEFENCE STAFF,2009,1,,,,,
FORD FOCUS ELECTRIC CAR,CANADIAN ARMY,2013,2,,,,,
FORD FOCUS STATION WAGON,CANADIAN ARMY,2016,2,,,,,
FORD FOCUS STATION WAGON,VICE CHIEF OF THE DEFENCE STAFF,2010,1,,,,,
FORD FOCUS STATION WAGON,VICE CHIEF OF THE DEFENCE STAFF,2011,2,,,,,
FORD FOCUS STATION WAGON,VICE CHIEF OF THE DEFENCE STAFF,2016,2,,,,,
FORD FREESTAR CARRY-ALL TRUCK,CANADIAN FORCE SUPPLY DEPOT,2007,1,,,,,
FORD FREESTAR CARRY-ALL TRUCK,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
FORD FREESTAR CARRY-ALL TRUCK,ROYAL CANADIAN NAVY,2007,2,,,,,
FORD FREESTAR PANEL TRUCK,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
FORD FUSION,ROYAL CANADIAN NAVY,2012,1,,,,,
FORD FUSION AUTO SEDAN,CANADIAN ARMY,2010,2,,,,,
FORD FUSION AUTO SEDAN,CANADIAN ARMY,2011,5,,,,,
FORD FUSION AUTO SEDAN,CANADIAN FORCE SUPPLY DEPOT,2011,4,,,,,
FORD FUSION AUTO SEDAN,MILITARY PERSONNEL COMMAND,2011,5,,,,,
FORD FUSION AUTO SEDAN,ROYAL CANADIAN AIRFORCE,2011,6,,,,,
FORD FUSION AUTO SEDAN,ROYAL CANADIAN AIRFORCE,2012,3,,,,,
FORD FUSION AUTO SEDAN,ROYAL CANADIAN AIRFORCE,2015,1,,,,,
FORD FUSION AUTO SEDAN,ROYAL CANADIAN NAVY,2011,3,,,,,
FORD FUSION AUTO SEDAN,ROYAL CANADIAN NAVY,2012,8,,,,,
FORD FUSION AUTO SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2011,10,,,,,
FORD FUSION AUTO SEDAN,VICE CHIEF OF THE DEFENCE STAFF,2012,1,,,,,
FORD FUSION HYBRID,CANADIAN ARMY,2015,16,,,,,
FORD FUSION HYBRID,CANADIAN ARMY,2016,13,,,,,
FORD FUSION HYBRID,MILITARY PERSONNEL COMMAND,2014,1,,,,,
FORD FUSION HYBRID,ROYAL CANADIAN AIRFORCE,2014,3,,,,,
FORD FUSION HYBRID,ROYAL CANADIAN AIRFORCE,2016,2,,,,,
FORD FUSION HYBRID,ROYAL CANADIAN NAVY,2015,5,,,,,
FORD FUSION HYBRID,ROYAL CANADIAN NAVY,2016,1,,,,,
FORD FUSION HYBRID,ROYAL CANADIAN NAVY,2017,7,,,,,
FORD FUSION HYBRID,VICE CHIEF OF THE DEFENCE STAFF,2014,2,,,,,
FORD GALAXY MINIVAN 7 PAX,VICE CHIEF OF THE DEFENCE STAFF,2011,1,,,,,
FORD LINE MAINTENANCE TRUCK,CANADIAN ARMY,2003,4,,,,,
FORD LINE MAINTENANCE TRUCK,CANADIAN ARMY,2005,7,,,,,
FORD LINE MAINTENANCE TRUCK,CANADIAN ARMY,2011,4,,,,,
FORD LINE MAINTENANCE TRUCK,CANADIAN ARMY,2015,3,,,,,
FORD LINE MAINTENANCE TRUCK,MILITARY PERSONNEL COMMAND,2005,1,,,,,
FORD LINE MAINTENANCE TRUCK,ROYAL CANADIAN NAVY,2005,1,,,,,
