EQUIPMENT,ORGANIZATION,YEAR MADE,QUANTITY,,,,,
ARTEFACT CARGO TRAILER 1/4T,CANADIAN ARMY,Unknown,1,,,,,
ARTEFACT CARGO TRAILER 1/4T,VICE CHIEF OF THE DEFENCE STAFF,Unknown,1,,,,,
ARTEFACT CARGO TRUCK 2.5T,CANADIAN ARMY,1956,1,,,,,
ARVA WHLD CRANE ,ROYAL CANADIAN NAVY,2005,2,,,,,
ARVA WHLD CRANE ,ROYAL CANADIAN AIRFORCE,1991,4,,,,,
ARVA EXCAVATOR,CANADIAN ARMY,2004,8,,,,,
ARVA EXCAVATOR,CANADIAN ARMY,2005,14,,,,,
ARVA EXCAVATOR,CANADIAN JOINT OPERATIONS COMMAND,2005,2,,,,,
ARVA EXCAVATOR,ASSISTANT DEPUTY MINISTER (MATERIEL),2004,3,,,,,
ARVA EXCAVATOR,ASSISTANT DEPUTY MINISTER (MATERIEL),2005,3,,,,,
TOYOTA LAND CRUISER,VICE CHIEF OF THE DEFENCE STAFF,2011,12,,,,,
ASPEN SEMI-TRAILER,CANADIAN ARMY,1997,6,,,,,
ASPEN SEMI-TRAILER,MILITARY PERSONNEL COMMAND,1997,1,,,,,
ASPEN DOLLY TRAILER,CANADIAN ARMY,1996,8,,,,,
ASPHALT RECYCLER MOUNTED TRAILER ,ROYAL CANADIAN AIRFORCE,2015,2,,,,,
ASTROPHYSICS X-RAY TRAILER,ROYAL CANADIAN NAVY,2009,1,,,,,
ATC RAVEN TRAILER VAN 2000KG,ROYAL CANADIAN AIRFORCE,2017,1,,,,,
ATELIER LOW-BED TRAILER,CANADIAN ARMY,2008,1,,,,,
ATLAS TRAILER VAN 1500KG 6M,ROYAL CANADIAN AIRFORCE,2016,1,,,,,
ATLAS TRAILER VAN 3500KG 7M,VICE CHIEF OF THE DEFENCE STAFF,2016,1,,,,,
ATLAS TRAILER VAN 2000KG,CANADIAN JOINT OPERATIONS COMMAND,2012,2,,,,,
ATLAS TRAILER VAN 2000KG,ROYAL CANADIAN NAVY,2013,1,,,,,
ATLAS TRAILER VAN 2000KG 5M,CANADIAN JOINT OPERATIONS COMMAND,2013,2,,,,,
ATLAS TRAILER VAN 2000KG 5M,ROYAL CANADIAN NAVY,2012,1,,,,,
ATLAS TRAILER VAN 3000KG 6M,CANADIAN ARMY,2014,1,,,,,
ATV OUTLANDER UTILITY VEHICLE,CANADIAN ARMY,2015,2,,,,,
AVTRON LOADBANK TRAILER,ROYAL CANADIAN NAVY,2005,1,,,,,
BAE ANTENNA SYSTEMS,ROYAL CANADIAN AIRFORCE,2005,4,,,,,
BAE TRAILER,ROYAL CANADIAN AIRFORCE,2005,4,,,,,
BAUMANN TRUCK FORKLIFT,ROYAL CANADIAN AIRFORCE,1999,1,,,,,
BEACH BARBER CLEANER,ROYAL CANADIAN AIRFORCE,2010,1,,,,,
BEAR CAT WOOD CHIPPER TRAILER,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
BEARTRAP CARGO TRAILER,MILITARY PERSONNEL COMMAND,2008,1,,,,,
BEAVERTAIL FLAT-BED TRAILER,CANADIAN ARMY,2017,1,,,,,
BEAVERTAIL TRAILER,CANADIAN ARMY,Unknown,1,,,,,
BEAVERTAIL TRAILER,ROYAL CANADIAN NAVY,Unknown,1,,,,,
BEAVERTAIL TRAILER 20454KG,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2010,1,,,,,
BEAVERTAIL TRAILER 22600KG,CANADIAN ARMY,2014,9,,,,,
BEAVERTAIL TRAILER 22600KG,ROYAL CANADIAN AIRFORCE,2014,2,,,,,
BEAVERTAIL TRAILER 22600KG,ROYAL CANADIAN NAVY,2015,1,,,,,
BENCO SCOOP LOADER,CANADIAN ARMY,2008,1,,,,,
BENCO TRUCK FORKLIFT,CANADIAN ARMY,2008,1,,,,,
BENCO TRUCK FORKLIFT,VICE CHIEF OF THE DEFENCE STAFF,2008,1,,,,,
BENCO TRANSPORTER TRUCK LIFT,CANADIAN ARMY,2004,2,,,,,
BENCO TRANSPORTER TRUCK LIFT,CANADIAN JOINT OPERATIONS COMMAND,2004,1,,,,,
BENCO TRANSPORTER TRUCK LIFT,VICE CHIEF OF THE DEFENCE STAFF,2004,1,,,,,
BENCO TRANSPORTER TRUCK LIFT,CANADIAN ARMY,2005,1,,,,,
BENCO TRANSPORTER TRUCK LIFT,CANADIAN JOINT OPERATIONS COMMAND,2005,1,,,,,
BENDRON VAN TRAILER 2000KG 4M,CANADIAN ARMY,2014,1,,,,, 
BENDRON VAN TRAILER 3500KG,ROYAL CANADIAN AIRFORCE,2013,1,,,,,
BERCO TRAILER BOLSTER GRADER,CANADIAN ARMY,2007,1,,,,,
BERGEN FLAT-DECK TRAILER,CANADIAN ARMY,2007,1,,,,,
BIG TEX TRAILER,ROYAL CANADIAN AIRFORCE,2006,4,,,,,
BIG TOW FLAT-BED TRAILER,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2008,1,,,,,
BIG TOW LOW-BED TRAILER 5500KG,CANADIAN ARMY,2008,4,,,,,
BIN HAULER TRAILER HYDRAULIC LIFT 500KG,ROYAL CANADIAN AIRFORCE,2006,1,,,,,
BIOSENE TRUCK VAN 16FT 4X2,DEFENCE REDEARCH AND DEVELOPMENT CANADA CORPORATE SERVICES,2011,1,,,,,
BLACKHAWK CARGO TRAILER,ROYAL CANADIAN NAVY,2010,3,,,,,
BLACKHAWK CARGO TRAILER,CANADIAN ARMY,2009,1,,,,,
BLACKHAWK FLAT-BED TRAILER,CANADIAN ARMY,2003,1,,,,,
BLACKHAWK LOW-BED TRAILER,CANADIAN ARMY,2007,1,,,,,
BLIZZARD VAN TRAILER 2500KG,ROYAL CANADIAN NAVY,2014,2,,,,,
BLUE GIANT TRUCK LIFT,CANADIAN ARMY,2008,1,,,,,
BLUE GIANT TRUCK LIFT,ROYAL CANADIAN AIRFORCE,2008,1,,,,,
BLUEBIRD BUS,CANADIAN ARMY,2004,4,,,,,
BLUEBIRD BUS,CANADIAN ARMY,2005,4,,,,,
BLUEBIRD BUS,CANADIAN FORCE SUPPLY DEPOT,2004,1,,,,,
BLUEBIRD BUS,MILITARY PERSONNEL COMMAND,2002,3,,,,,
BLUEBIRD BUS,ROYAL CANADIAN AIRFORCE,1992,1,,,,,
BLUEBIRD BUS,ROYAL CANADIAN AIRFORCE,2004,2,,,,,
BLUEBIRD BUS,ROYAL CANADIAN AIRFORCE,2005,2,,,,,
BLUEBIRD BUS,ROYAL CANADIAN NAVY,2000,1,,,,,
BLUEBIRD BUS,VICE CHIEF OF THE DEFENCE STAFF,2007,1,,,,,
BLUEBIRD BUS 44 PAX,ROYAL CANADIAN AIRFORCE,1998,1,,,,,
BLUEBIRD INTERNATIONAL BUS,CANADIAN ARMY,2001,4,,,,,
BLUEBIRD INTERNATIONAL BUS,MILITARY PERSONNEL COMMAND,2002,3,,,,,
BLUEBIRD INTERNATIONAL BUS,ROYAL CANADIAN AIRFORCE,2002,1,,,,,
BOAT,ASSISTANT DEPUTY MINISTER (MATERIEL),Unknown,1,,,,,
BOAT BRIASSISTANT DEPUTY MINISTER (MATERIEL)E ERECTION,CANADIAN FORCE SUPPLY DEPOT,Unknown,3,,,,,
BOAT KARAVAN TRAILER 1000KG,CANADIAN FORCE SUPPLY DEPOT,2009,1,,,,,
BOAT KARAVAN TRAILER 1000KG,CANADIAN FORCE SUPPLY DEPOT,2010,2,,,,,
BOAT KARAVAN TRAILER 500KG 4.5M,CANADIAN FORCE SUPPLY DEPOT,2008,3,,,,,
BOAT KARAVAN TRAILER 500KG 5M,CANADIAN FORCE SUPPLY DEPOT,1999,2,,,,,
BOAT LOADER TRAILER 500KG,ROYAL CANADIAN AIRFORCE,2010,2,,,,,
BOAT LOADRITE TRAILER 1000KG 5M,CANADIAN FORCE SUPPLY DEPOT,2012,1,,,,,
BOAT CANOE TRAILER 500KG 8M ,ROYAL CANADIAN AIRFORCE,1995,4,,,,,
BOAT TRAILER 1000KG 12-CANOE,CANADIAN ARMY,2014,1,,,,,
BOAT TRAILER 250KG 6-CANOE,CANADIAN ARMY,2001,1,,,,,
BOAT TRAILER 500KG 6-CANOE,MILITARY PERSONNEL COMMAND,2011,1,,,,,
BOBCAT LAWN AND GARDEN MOWER,CANADIAN ARMY,2011,1,,,,,
BOBCAT LAWN AND GARDEN MOWER,ROYAL CANADIAN NAVY,2011,2,,,,,
BOBCAT LIGHT UTILITY VEHICLE,ROYAL CANADIAN AIRFORCE,2012,1,,,,,
BOBCAT SCOOP LOADER,CANADIAN ARMY,1999,1,,,,,
BOBCAT SCOOP LOADER,CANADIAN ARMY,2001,1,,,,,
BOBCAT SCOOP LOADER,CANADIAN ARMY,2009,1,,,,,
BOBCAT SCOOP LOADER,CANADIAN ARMY,2012,1,,,,,
BOBCAT SCOOP LOADER,ROYAL CANADIAN NAVY,2007,2,,,,,
BOBCAT SKID LOADER,ROYAL CANADIAN AIRFORCE,2010,1,,,,,
BOBCAT SKID STEER LOADER,CANADIAN ARMY,1996,1,,,,,
BOBCAT SKID STEER LOADER,CANADIAN ARMY,2006,1,,,,,
BOBCAT SKID STEER LOADER,CANADIAN ARMY,2012,1,,,,,
BOBCAT SKID STEER LOADER,ROYAL CANADIAN NAVY,2010,4,,,,,
BOBCAT TRACKED EXCAVATOR,CANADIAN ARMY,2008,1,,,,,
BOLSTER TRAILER 5T,CANADIAN ARMY,1994,3,,,,,
BOLSTER TRAILER 5T,CANADIAN ARMY,2010,7,,,,,
BOLSTER TRAILER 5T,CANADIAN FORCE SUPPLY DEPOT,1994,2,,,,,
BOLSTER TRAILER 5T,ROYAL CANADIAN NAVY,1994,2,,,,,
BOLSTER TRAILER 6804KG,CANADIAN ARMY,2010,4,,,,,
BOMAG WHLD LANDFILL COMPACTOR,MILITARY PERSONNEL COMMAND,2015,1,,,,,
BOMBARDIER EXPEDITION SPORT SNOWMOBILE,CANADIAN FORCE SUPPLY DEPOT,2006,1,,,,,
BOMBARDIER LEGEND SLED SKI-DOO,CANADIAN ARMY,2004,13,,,,,
BOMBARDIER LEGEND SLED SKI-DOO,ROYAL CANADIAN AIRFORCE,2005,1,,,,,
BOMBARDIER OUTLANDER ATV,CANADIAN ARMY,2004,2,,,,,
BOMBARDIER OUTLANDER ATV,CANADIAN ARMY,2006,3,,,,,
BOMBARDIER OUTLANDER ATV,CANADIAN ARMY,2007,3,,,,,
BOMBARDIER OUTLANDER ATV,CANADIAN ARMY,2008,5,,,,,
BOMBARDIER OUTLANDER ATV,CANADIAN ARMY,2009,3,,,,,
BOMBARDIER OUTLANDER ATV,CANADIAN ARMY,2017,2,,,,,
BOMBARDIER OUTLANDER ATV,CANADIAN JOINT OPERATIONS COMMAND,2009,3,,,,,
BOMBARDIER OUTLANDER ATV,CANADIAN FORCE SUPPLY DEPOT,2004,3,,,,,
BOMBARDIER OUTLANDER ATV,ASSISTANT DEPUTY MINISTER (MATERIEL),2008,1,,,,,
BOMBARDIER OUTLANDER ATV,MILITARY PERSONNEL COMMAND,2006,1,,,,,
BOMBARDIER OUTLANDER ATV,MILITARY PERSONNEL COMMAND,2008,1,,,,,
BOMBARDIER OUTLANDER ATV,MILITARY PERSONNEL COMMAND,2017,1,,,,,
BOMBARDIER OUTLANDER ATV,ROYAL CANADIAN AIRFORCE,2004,2,,,,,
BOMBARDIER OUTLANDER ATV,ROYAL CANADIAN AIRFORCE,2006,3,,,,,
BOMBARDIER OUTLANDER ATV,ROYAL CANADIAN AIRFORCE,2007,2,,,,,
BOMBARDIER OUTLANDER ATV,ROYAL CANADIAN AIRFORCE,2008,7,,,,,
BOMBARDIER OUTLANDER ATV,ROYAL CANADIAN AIRFORCE,2017,3,,,,,
BOMBARDIER SKANDIC ACE SKI-DOO,CANADIAN ARMY,2017,120,,,,,
BOMBARDIER SKANDIC ACE SKI-DOO,ROYAL CANADIAN AIRFORCE,2016,9,,,,,
BOMBARDIER SKANDIC ACE SKI-DOO,VICE CHIEF OF THE DEFENCE STAFF,2016,1,,,,,
BOMBARDIER SKANDIC ETEC SKI-DOO,CANADIAN ARMY,2016,1,,,,,
BOMBARDIER SKANDIC ETEC SKI-DOO,ROYAL CANADIAN AIRFORCE,2016,13,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN ARMY,2004,4,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN ARMY,2005,4,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN ARMY,2007,6,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN ARMY,2008,5,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN ARMY,2009,13,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN JOINT OPERATIONS COMMAND,2004,4,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN JOINT OPERATIONS COMMAND,2007,5,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN JOINT OPERATIONS COMMAND,2008,1,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN JOINT OPERATIONS COMMAND,2009,17,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN FORCE SUPPLY DEPOT,2004,1,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN FORCE SUPPLY DEPOT,2005,2,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN FORCE SUPPLY DEPOT,2007,2,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN FORCE SUPPLY DEPOT,2008,1,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,CANADIAN FORCE SUPPLY DEPOT,2009,3,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,MILITARY PERSONNEL COMMAND,2007,1,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,ROYAL CANADIAN AIRFORCE,2004,3,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,ROYAL CANADIAN AIRFORCE,2008,1,,,,,
BOMBARDIER SKANDIC SLED SKI-DOO,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
BOMBARDIER SKANDIC SNOWMOBIL,CANADIAN ARMY,2006,14,,,,,
BOMBARDIER SKANDIC SNOWMOBIL,CANADIAN FORCE SUPPLY DEPOT,2006,1,,,,,
BOMBARDIER SKANDIC SNOWMOBIL,ROYAL CANADIAN AIRFORCE,2006,4,,,,,
BOMBARDIER SKANDIC SNOWMOBILE,CANADIAN ARMY,1997,41,,,,,
BOMBARDIER SKANDIC SNOWMOBILE,CANADIAN ARMY,Unknown,2,,,,,
BOMBARDIER SKANDIC SNOWMOBILE,CANADIAN FORCE SUPPLY DEPOT,1997,8,,,,,
BOMBARDIER SKANDIC SNOWMOBILE,CANADIAN FORCE SUPPLY DEPOT,Unknown,1,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,CANADIAN ARMY,1999,2,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,CANADIAN ARMY,2000,3,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,CANADIAN ARMY,2010,54,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,CANADIAN ARMY,2015,2,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,CANADIAN JOINT OPERATIONS COMMAND,2010,9,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,CANADIAN FORCE SUPPLY DEPOT,1999,4,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,CANADIAN FORCE SUPPLY DEPOT,2000,1,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,1999,1,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2010,8,,,,,
BOMBARDIER SKANDIC SWT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2012,12,,,,,
