ÉQUIPEMENT,ORGANISATION,ANNÉE FRABRIQUÉ ,QUANTITÉ,,,,,
BOMBARDIER SKANDIC TUNDRA SNOWMOBILE,ARMÉE CANADIENNE,2011,10,,,,,
BOMBARDIER TRAXTER ATV,ARMÉE CANADIENNE,2002,2,,,,,
BOMBARDIER TRAXTER ATV,ARMÉE CANADIENNE,2003,2,,,,,
BOMBARDIER TRAXTER ATV,ARMÉE CANADIENNE,2004,2,,,,,
BOMBARDIER TRAXTER ATV,ARMÉE CANADIENNE,2005,37,,,,,
BOMBARDIER TUNDRA SKI-DOO,ARMÉE CANADIENNE,2013,6,,,,,
BRIDGING TRUCK,ARMÉE CANADIENNE,1989,48,,,,,
BRI-MAR FLAT-BED TRAILER,ARMÉE CANADIENNE,2008,1,,,,,
BRI-MAR LOW-BED TRAILER 5.5M,ARMÉE CANADIENNE,2012,2,,,,,
BRP SKANDIC SNOWMOBILE,ARMÉE CANADIENNE,2010,2,,,,,
BRP SKANDIC SNOWMOBILE,ARMÉE CANADIENNE,2011,2,,,,,
BRUSH CUTTER MOUNTED TRAILER,ARMÉE CANADIENNE,2009,1,,,,,
BWS BEAVER TRAILER,ARMÉE CANADIENNE,2004,7,,,,,
BWS BEAVER TRAILER,ARMÉE CANADIENNE,2005,6,,,,,
BWS BEAVER TRAILER,ARMÉE CANADIENNE,2006,4,,,,,
BWS CABLE REEL TRAILER 7T,ARMÉE CANADIENNE,2011,3,,,,,
BWS LOW-BED SEMI-TRAILER,ARMÉE CANADIENNE,1999,1,,,,,
BWS LOW-BED TRAILER,ARMÉE CANADIENNE,1994,1,,,,,
BWS MAN SEMI-TRAILER,ARMÉE CANADIENNE,1997,2,,,,,
CABLE REEL TRAILER 3T,ARMÉE CANADIENNE,2016,1,,,,,
CABLE REEL TRAILER 7T,ARMÉE CANADIENNE,2011,8,,,,,
CABLE REEL TRAILER 7T,ARMÉE CANADIENNE,2012,3,,,,,
CABLE REEL TRAILER 7T,ARMÉE CANADIENNE,2016,1,,,,,
CABLE REEL TRAILER 7T,ARMÉE CANADIENNE,Inconnu,2,,,,,
CAN SUPERLINE TRAILER 13900KG,ARMÉE CANADIENNE,2014,1,,,,,
CANADA FLAT-BED TRAILER 4000KG,ARMÉE CANADIENNE,2016,2,,,,,
CANADA TOWED ROLLER,ARMÉE CANADIENNE,Inconnu,1,,,,,
CANADA TRAILER,ARMÉE CANADIENNE,2007,1,,,,,
CANADA TRAILER,ARMÉE CANADIENNE,2007,1,,,,,
CANADA TRAILER,ARMÉE CANADIENNE,2008,5,,,,,
CANADA TRAILER,ARMÉE CANADIENNE,2009,1,,,,,
CARGO 2 WHLD TRAILER 1/4T,ARMÉE CANADIENNE,Inconnu,1,,,,,
CARGO CREW TRUCK 1 3/4T,ARMÉE CANADIENNE,2013,3,,,,,
CARGO CREW TRUCK 1 3/4T,ARMÉE CANADIENNE,2014,1,,,,,
CARGO HYDRAULIC LIFT BED TRAILER,ARMÉE CANADIENNE,2012,2,,,,,
CARGO MATE VAN TRAILER 2000KG 4M,ARMÉE CANADIENNE,2014,2,,,,,
CARGO TRAILER 1000KG 4M,ARMÉE CANADIENNE,Inconnu,1,,,,,
