ÉQUIPEMENT,ORGANISATION,ANNÉE FRABRIQUÉ ,QUANTITÉ,,,,,
CASE SCOOP LOADER 4X4,L'AVIATION ROYALE CANADIENNE,2013,1,,,,,
CASE SKID STEER LOADER,L'AVIATION ROYALE CANADIENNE,2013,6,,,,,
CASE SKID STEER LOADER,L'AVIATION ROYALE CANADIENNE,2014,1,,,,,
CASE SKID STEER LOADER,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
CASE TRACKED EXCAVATOR,L'AVIATION ROYALE CANADIENNE,2007,1,,,,,
CASE WHLD TRACTOR,L'AVIATION ROYALE CANADIENNE,2007,1,,,,,
CATERPILLAR FORKLIFT,L'AVIATION ROYALE CANADIENNE,1999,1,,,,,
CATERPILLAR FORKLIFT,L'AVIATION ROYALE CANADIENNE,2005,1,,,,,
CATERPILLAR TRACTOR,L'AVIATION ROYALE CANADIENNE,2002,3,,,,,
CATERPILLAR TRACTOR,L'AVIATION ROYALE CANADIENNE,2010,7,,,,,
CDC TRAILER VAN,L'AVIATION ROYALE CANADIENNE,2001,10,,,,,
CDN CARGO TRUCK 2 1/2T 6X6,L'AVIATION ROYALE CANADIENNE,Inconnu,87,,,,,
CEMENT TECH ASPHALT PAVER,L'AVIATION ROYALE CANADIENNE,2000,1,,,,,
CENTURY WHLD MOUNTED CRANE,L'AVIATION ROYALE CANADIENNE,Inconnu,1,,,,,
CHAMPION ROAD MOTORIZED GRADER,L'AVIATION ROYALE CANADIENNE,1993,1,,,,,
CHAMPION ROAD MOTORIZED GRADER,L'AVIATION ROYALE CANADIENNE,1999,1,,,,,
CHEVROLET CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,1994,1,,,,,
CHEVROLET CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2006,6,,,,,
CHEVROLET CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2007,6,,,,,
CHEVROLET CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2008,14,,,,,
CHEVROLET CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
CHEVROLET CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
CHEVROLET CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2017,3,,,,,
CHEVROLET COBALT SEDAN,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
CHEVROLET COLORADO PICKUP,L'AVIATION ROYALE CANADIENNE,2012,2,,,,,
CHEVROLET CUTAWAY TRUCK,L'AVIATION ROYALE CANADIENNE,2007,1,,,,,
CHEVROLET CUTAWAY TRUCK,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
CHEVROLET EQUINOX AWD,L'AVIATION ROYALE CANADIENNE,2014,4,,,,,
CHEVROLET EXPRESS CARGO VAN,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
CHEVROLET EXPRESS CARGO VAN,L'AVIATION ROYALE CANADIENNE,2012,2,,,,,
CHEVROLET EXPRESS CARGO VAN,L'AVIATION ROYALE CANADIENNE,2014,1,,,,,
CHEVROLET EXPRESS CARGO VAN,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
CHEVROLET EXPRESS CARGO VAN,L'AVIATION ROYALE CANADIENNE,2016,2,,,,,
CHEVROLET EXPRESS CARGO VAN,L'AVIATION ROYALE CANADIENNE,2017,8,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2004,3,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2005,1,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2006,3,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2007,2,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2008,8,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2009,15,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
CHEVROLET EXPRESS CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2017,2,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,L'AVIATION ROYALE CANADIENNE,2011,2,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,L'AVIATION ROYALE CANADIENNE,2013,1,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,L'AVIATION ROYALE CANADIENNE,2014,2,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,L'AVIATION ROYALE CANADIENNE,2015,3,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,L'AVIATION ROYALE CANADIENNE,2016,11,,,,,
CHEVROLET EXPRESS CUTAWAY VAN,L'AVIATION ROYALE CANADIENNE,2017,6,,,,,
CHEVROLET EXPRESS DELIVERY TRUCK,L'AVIATION ROYALE CANADIENNE,2006,7,,,,,
CHEVROLET EXPRESS MULTI-STOP TRUCK,L'AVIATION ROYALE CANADIENNE,2009,1,,,,,
CHEVROLET EXPRESS MULTI-STOP TRUCK,L'AVIATION ROYALE CANADIENNE,2012,4,,,,,
CHEVROLET EXPRESS PANEL TRUCK,L'AVIATION ROYALE CANADIENNE,2005,4,,,,,
CHEVROLET EXPRESS PANEL TRUCK,L'AVIATION ROYALE CANADIENNE,2006,2,,,,,
CHEVROLET EXPRESS PANEL TRUCK,L'AVIATION ROYALE CANADIENNE,2008,4,,,,,
CHEVROLET EXPRESS PANEL TRUCK,L'AVIATION ROYALE CANADIENNE,2009,7,,,,,
CHEVROLET EXPRESS PANEL TRUCK,L'AVIATION ROYALE CANADIENNE,2010,1,,,,,
CHEVROLET EXPRESS TRUCK,L'AVIATION ROYALE CANADIENNE,2017,5,,,,,
CHEVROLET EXPRESS VAN AWD 8 PAX,L'AVIATION ROYALE CANADIENNE,2012,3,,,,,
CHEVROLET EXPRESS VAN AWD 8 PAX,L'AVIATION ROYALE CANADIENNE,2014,6,,,,,
CHEVROLET IMPALA AUTO SEDAN,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
CHEVROLET IMPALA MP PATROL CAR,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
CHEVROLET MALIBU HYBRID SEDAN,L'AVIATION ROYALE CANADIENNE,2013,1,,,,,
CHEVROLET MALIBU SEDAN,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
CHEVROLET PICKUP 1 1/2T,L'AVIATION ROYALE CANADIENNE,2007,5,,,,,
CHEVROLET SILVERADO CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
CHEVROLET SILVERADO CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2015,19,,,,,
CHEVROLET SILVERADO CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2016,26,,,,,
CHEVROLET SILVERADO CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2017,7,,,,,
CHEVROLET SILVERADO CREW CAB PICKUP,L'AVIATION ROYALE CANADIENNE,2017,8,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2013,4,,,,,
CHEVROLET SILVERADO EXTENDED CAB PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2017,9,,,,,
CHEVROLET SILVERADO PICKUP,L'AVIATION ROYALE CANADIENNE,2014,8,,,,,
CHEVROLET SILVERADO PICKUP,L'AVIATION ROYALE CANADIENNE,2017,9,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2015,3,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2016,1,,,,,
CHEVROLET SILVERADO PICKUP 1 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2017,4,,,,,
CHEVROLET SILVERADO PICKUP 1/2T,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 2 1/2T,L'AVIATION ROYALE CANADIENNE,2017,2,,,,,
CHEVROLET SILVERADO PICKUP 3/4T 4X2,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,L'AVIATION ROYALE CANADIENNE,2013,1,,,,,
CHEVROLET SILVERADO PICKUP 8FT 4X4,L'AVIATION ROYALE CANADIENNE,2014,13,,,,,
CHEVROLET SUBURBAN TRUCK,L'AVIATION ROYALE CANADIENNE,2007,2,,,,,
CHEVROLET SUBURBAN TRUCK,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
CHEVROLET SUBURBAN TRUCK,L'AVIATION ROYALE CANADIENNE,2009,3,,,,,
CHEVROLET SUBURBAN TRUCK,L'AVIATION ROYALE CANADIENNE,2011,2,,,,,
CHEVROLET SUBURBAN TRUCK 1 1/2T,L'AVIATION ROYALE CANADIENNE,2012,2,,,,,
CHEVROLET TAHOE UTILITY TRUCK,L'AVIATION ROYALE CANADIENNE,2009,1,,,,,
CHEVROLET TAHOE UTILITY TRUCK,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
CHEVROLET UPLANDER TRUCK,L'AVIATION ROYALE CANADIENNE,2007,2,,,,,
CHEVROLET UPLANDER TRUCK,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
CHEVROLET UTILITY TRUCK,L'AVIATION ROYALE CANADIENNE,1992,1,,,,,
CHRYSLER AWD SEDAN,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
CHRYSLER INTREPID SEDAN,L'AVIATION ROYALE CANADIENNE,2004,3,,,,,
CHRYSLER INTREPID SEDAN,L'AVIATION ROYALE CANADIENNE,2006,1,,,,,
CHRYSLER INTREPID SEDAN,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
CHRYSLER LX SEDAN,L'AVIATION ROYALE CANADIENNE,2014,1,,,,,
CHRYSLER SEDAN MIDSIZE,L'AVIATION ROYALE CANADIENNE,2012,3,,,,,
CHRYSLER TOURING SEDAN,L'AVIATION ROYALE CANADIENNE,2013,5,,,,,
CLARK AIRCRAFT TOW TRACTOR,L'AVIATION ROYALE CANADIENNE,1987,21,,,,,
CLARK FORKLIFT,L'AVIATION ROYALE CANADIENNE,2007,1,,,,,
CLARK FORKLIFT,L'AVIATION ROYALE CANADIENNE,2010,1,,,,,
CLARK FORKLIFT 3000 LBS,L'AVIATION ROYALE CANADIENNE,2000,2,,,,,
CLARK WHLD TRACTOR,L'AVIATION ROYALE CANADIENNE,1987,46,,,,,
CLYDE BAGGAGE CARTS,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
CLYDE BAGGAGE CARTS,L'AVIATION ROYALE CANADIENNE,2016,5,,,,,
COMMERCIAL UTILITY CARGO VEHICLE,L'AVIATION ROYALE CANADIENNE,1986,1,,,,,
COMPAIR COMPRESSOR,L'AVIATION ROYALE CANADIENNE,2007,1,,,,,
COMPRESSOR UNIT MOUNTED TRAILER,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
CONTINENTAL CARGO TRAILER VAN,L'AVIATION ROYALE CANADIENNE,2016,1,,,,,
CONTINENTAL TRAILER VAN 1500KG,L'AVIATION ROYALE CANADIENNE,2009,2,,,,,
CONTINENTAL UTILITY TRAILER,L'AVIATION ROYALE CANADIENNE,2013,1,,,,,
CONTINETAL TRAILER VAN,L'AVIATION ROYALE CANADIENNE,2003,1,,,,,
CONVEYOR BELT LOADER,L'AVIATION ROYALE CANADIENNE,2006,5,,,,,
CRAIG TRAILER,L'AVIATION ROYALE CANADIENNE,1978,1,,,,,
CRAIGS FLAT-BED TRAILER,L'AVIATION ROYALE CANADIENNE,1987,2,,,,,
CRAIGS FLAT-BED TRAILER,L'AVIATION ROYALE CANADIENNE,1997,1,,,,,
CRANE LTD WHLD MOUNTED CRANE,L'AVIATION ROYALE CANADIENNE,Inconnu,1,,,,,
CRANE MOUNTED CRAWLER,L'AVIATION ROYALE CANADIENNE,2013,1,,,,,
CROWN CONCRETE MIXER,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
CROWN CONCRETE MIXER,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
CROWN ESM FORKLIFT,L'AVIATION ROYALE CANADIENNE,2006,1,,,,,
CROWN FORKLIFT,L'AVIATION ROYALE CANADIENNE,2001,1,,,,,
CROWN FORKLIFT,L'AVIATION ROYALE CANADIENNE,2006,1,,,,,
CUB CADET VOLUNTEER UTILITY VEHICLE 4X4,L'AVIATION ROYALE CANADIENNE,2013,9,,,,,
CUMMINS GENERATOR TRAILER,L'AVIATION ROYALE CANADIENNE,2013,1,,,,,
DAEWOO FORKLIFT,L'AVIATION ROYALE CANADIENNE,1999,1,,,,,
DAEWOO FORKLIFT,L'AVIATION ROYALE CANADIENNE,2000,1,,,,,
DAEWOO FORKLIFT,L'AVIATION ROYALE CANADIENNE,2002,15,,,,,
DAEWOO FORKLIFT,L'AVIATION ROYALE CANADIENNE,2003,16,,,,,
DAEWOO FORKLIFT,L'AVIATION ROYALE CANADIENNE,2004,1,,,,,
DAEWOO FORKLIFT,L'AVIATION ROYALE CANADIENNE,2005,4,,,,,
DAEWOO FORKLIFT,L'AVIATION ROYALE CANADIENNE,2007,3,,,,,
DAEWOO FORKLIFT,L'AVIATION ROYALE CANADIENNE,2007,7,,,,,
DAKOTA LOW-BED SEMI-TRAILER,L'AVIATION ROYALE CANADIENNE,2014,2,,,,,
DAKOTA LOW-BED SEMI-TRAILER,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
DANISH CAMP SUPPLY CONTANER 25T,L'AVIATION ROYALE CANADIENNE,1998,7,,,,,
DANISH CAMP SUPPLY CONTANER 25T,L'AVIATION ROYALE CANADIENNE,2000,1,,,,,
DAVTAIR AIRCRAFT CARGO TRAILER,L'AVIATION ROYALE CANADIENNE,2007,7,,,,,
DAVTAIR SHIPPING CONTAINER 20FT,L'AVIATION ROYALE CANADIENNE,1996,1,,,,,
DESJARDINS DIESEL FUEL TRAILER,L'AVIATION ROYALE CANADIENNE,2016,2,,,,,
DESJARDINS SEWAGE TRAILER 4000L,L'AVIATION ROYALE CANADIENNE,2016,1,,,,,
DEW ENGINEERING CARGO TRAILER,L'AVIATION ROYALE CANADIENNE,1998,3,,,,,
DEW ENGINEERING MOBILE KITCHEN,L'AVIATION ROYALE CANADIENNE,1991,4,,,,,
DEW ENGINEERING TRAILER,L'AVIATION ROYALE CANADIENNE,1987,21,,,,,
DEW ENGINEERING TRAILER,L'AVIATION ROYALE CANADIENNE,1995,15,,,,,
DEW ENGINEERING TRAILER,L'AVIATION ROYALE CANADIENNE,1997,71,,,,,
DEW ENGINEERING TRAILER,L'AVIATION ROYALE CANADIENNE,2004,2,,,,,
DIESEL TRAILER GENERATOR 20 KW,L'AVIATION ROYALE CANADIENNE,2003,9,,,,,
DODGE AVENGER SEDAN MID-SIZE,L'AVIATION ROYALE CANADIENNE,2012,2,,,,,
DODGE AVENGER SEDAN MID-SIZE,L'AVIATION ROYALE CANADIENNE,2013,5,,,,,
DODGE AVENGER SEDAN MID-SIZE,L'AVIATION ROYALE CANADIENNE,2014,2,,,,,
DODGE CARAVAN CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2006,1,,,,,
DODGE CARAVAN CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2007,1,,,,,
DODGE DURANGO UTILITY TRUCK,L'AVIATION ROYALE CANADIENNE,2009,2,,,,,
DODGE DURANGO UTILITY TRUCK,L'AVIATION ROYALE CANADIENNE,2014,1,,,,,
DODGE DURANGO UTILITY TRUCK,L'AVIATION ROYALE CANADIENNE,2017,3,,,,,
DODGE GRAND CARAVAN 4X2 5 PAX,L'AVIATION ROYALE CANADIENNE,2010,1,,,,,
DODGE GRAND CARAVAN 4X2 5 PAX,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
DODGE GRAND CARAVAN 4X2 5 PAX,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
DODGE GRAND CARAVAN 4x2 7 PAX,L'AVIATION ROYALE CANADIENNE,2010,4,,,,,
DODGE GRAND CARAVAN 4x2 7 PAX,L'AVIATION ROYALE CANADIENNE,2011,3,,,,,
DODGE GRAND CARAVAN 4x2 7 PAX,L'AVIATION ROYALE CANADIENNE,2012,4,,,,,
DODGE GRAND CARAVAN 4x2 7 PAX,L'AVIATION ROYALE CANADIENNE,2013,15,,,,,
DODGE GRAND CARAVAN 4x2 7 PAX,L'AVIATION ROYALE CANADIENNE,2014,8,,,,,
DODGE GRAND CARAVAN 4x2 7 PAX,L'AVIATION ROYALE CANADIENNE,2015,16,,,,,
DODGE GRAND CARAVAN CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2005,1,,,,,
DODGE GRAND CARAVAN CARRY-ALL TRUCK,L'AVIATION ROYALE CANADIENNE,2009,5,,,,,
DODGE GRAND CARAVAN PANEL TRUCK,L'AVIATION ROYALE CANADIENNE,2009,3,,,,,
DODGE GRAND CARAVAN TRUCK,L'AVIATION ROYALE CANADIENNE,2017,14,,,,,
DODGE JOURNEY AWD SUV,L'AVIATION ROYALE CANADIENNE,2013,2,,,,,
DODGE MAGNUM STATION WAGON,L'AVIATION ROYALE CANADIENNE,2008,4,,,,,
DODGE NITRO UTILITY TRUCK,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
DODGE RAM CARGO MINI VAN,L'AVIATION ROYALE CANADIENNE,2013,2,,,,,
DODGE RAM CARGO PICKUP,L'AVIATION ROYALE CANADIENNE,2004,4,,,,,
DODGE RAM CARGO PICKUP,L'AVIATION ROYALE CANADIENNE,2005,1,,,,,
DODGE RAM CARGO PICKUP,L'AVIATION ROYALE CANADIENNE,2007,4,,,,,
DODGE RAM CARGO PICKUP,L'AVIATION ROYALE CANADIENNE,2008,20,,,,,
DODGE RAM CARGO PICKUP,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
DODGE RAM CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2016,1,,,,,
DODGE RAM CARGO TRUCK,L'AVIATION ROYALE CANADIENNE,2017,3,,,,,
DODGE RAM CREW CAB PICKUP,L'AVIATION ROYALE CANADIENNE,2006,1,,,,,
DODGE RAM CREW CAB PICKUP 4X2,L'AVIATION ROYALE CANADIENNE,2014,4,,,,,
DODGE RAM CREW CAB PICKUP 4X2,L'AVIATION ROYALE CANADIENNE,2016,9,,,,,
DODGE RAM CREW CAB PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2013,3,,,,,
DODGE RAM CREW CAB PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2015,6,,,,,
DODGE RAM EXTENDED CAB PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2015,8,,,,,
DODGE RAM EXTENDED CAB PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2017,1,,,,,
DODGE RAM EXTENDED CABIN PICKUP 4X2,L'AVIATION ROYALE CANADIENNE,2015,17,,,,,
DODGE RAM PANEL TRUCK,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
DODGE RAM PANEL TRUCK VAN,L'AVIATION ROYALE CANADIENNE,2015,2,,,,,
DODGE RAM PICKUP,L'AVIATION ROYALE CANADIENNE,2013,2,,,,,
DODGE RAM PICKUP,L'AVIATION ROYALE CANADIENNE,2014,3,,,,,
DODGE RAM PICKUP,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
DODGE RAM PICKUP 1 1/2T,L'AVIATION ROYALE CANADIENNE,2011,2,,,,,
DODGE RAM PICKUP 1 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2010,1,,,,,
DODGE RAM PICKUP 1 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
DODGE RAM PICKUP 1 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2013,4,,,,,
DODGE RAM PICKUP 1 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2014,16,,,,,
DODGE RAM PICKUP 1 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2015,5,,,,,
DODGE RAM PICKUP 1 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2016,8,,,,,
DODGE RAM PICKUP 1/2T 4X4,L'AVIATION ROYALE CANADIENNE,2012,3,,,,,
DODGE RAM PICKUP 1T 4X4,L'AVIATION ROYALE CANADIENNE,1998,1,,,,,
DODGE RAM PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2014,1,,,,,
DODGE RAM PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2015,15,,,,,
DODGE RAM PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2017,1,,,,,
DODGE RAM REG PICKUP 4X4,L'AVIATION ROYALE CANADIENNE,2013,5,,,,,
DODGE RAM TRUCK VAN 1 1/2T,L'AVIATION ROYALE CANADIENNE,2009,1,,,,,
DODGE SPRINTER PANEL TRUCK,L'AVIATION ROYALE CANADIENNE,2006,3,,,,,
DOOSAN FORKLIFT,L'AVIATION ROYALE CANADIENNE,2007,3,,,,,
DOOSAN FORKLIFT,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
DOOSAN FORKLIFT,L'AVIATION ROYALE CANADIENNE,2009,3,,,,,
DOOSAN FORKLIFT,L'AVIATION ROYALE CANADIENNE,2010,1,,,,,
DOOSAN FORKLIFT,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
DOOSAN FORKLIFT,L'AVIATION ROYALE CANADIENNE,2014,6,,,,,
DOOSAN FORKLIFT,L'AVIATION ROYALE CANADIENNE,2015,4,,,,,
DOOSAN FORKLIFT 10000 LBS,L'AVIATION ROYALE CANADIENNE,2011,1,,,,,
DOOSAN FORKLIFT 3500 LBS,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
DOOSAN FORKLIFT 4000 LBS,L'AVIATION ROYALE CANADIENNE,2012,2,,,,,
DOOSAN FORKLIFT 4000 LBS,L'AVIATION ROYALE CANADIENNE,2014,3,,,,,
DOOSAN FORKLIFT 4000 LBS,L'AVIATION ROYALE CANADIENNE,2015,1,,,,,
DOOSAN FORKLIFT 4000 LBS,L'AVIATION ROYALE CANADIENNE,2016,1,,,,,
DOOSAN FORKLIFT 5000 LBS,L'AVIATION ROYALE CANADIENNE,2012,3,,,,,
DOOSAN FORKLIFT 5000 LBS,L'AVIATION ROYALE CANADIENNE,2017,2,,,,,
DOOSAN FORKLIFT 6000 LBS,L'AVIATION ROYALE CANADIENNE,2012,2,,,,,
DOOSAN FORKLIFT 6000 LBS,L'AVIATION ROYALE CANADIENNE,2014,3,,,,,
DOOSAN FORKLIFT 7000 LBS,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
DOUBLE A TRAILER 18 FT,L'AVIATION ROYALE CANADIENNE,2005,1,,,,,
DOUBLE A TRAILER LOW-BED 3000 LB,L'AVIATION ROYALE CANADIENNE,2012,1,,,,,
DREXEL FORKLIFT,L'AVIATION ROYALE CANADIENNE,2005,1,,,,,
DUKE EQUIPMENT SNOWBLOWER,L'AVIATION ROYALE CANADIENNE,1990,1,,,,,
DUKE JCB FASTRAC WHLD TRACTOR,L'AVIATION ROYALE CANADIENNE,1999,3,,,,,
DUKE/NORLAND SNOWBLOWER,L'AVIATION ROYALE CANADIENNE,1986,21,,,,,
DUMP SEMI-TRAILER 52T,L'AVIATION ROYALE CANADIENNE,2016,1,,,,,
DURABODY FLAT-DECK TRAILER,L'AVIATION ROYALE CANADIENNE,1984,1,,,,,
DURABODY SEMI-TRAILER,L'AVIATION ROYALE CANADIENNE,1989,2,,,,,
DURABODY SEMI-TRAILER VAN,L'AVIATION ROYALE CANADIENNE,1998,1,,,,,
DURABODY SEMI-TRAILER VAN,L'AVIATION ROYALE CANADIENNE,2007,6,,,,,
DURABODY TAGALONG TRAILER VAN,L'AVIATION ROYALE CANADIENNE,1997,13,,,,,
DURABODY TRAILER 17T,L'AVIATION ROYALE CANADIENNE,2002,4,,,,,
DURABODY TRAILER 17T,L'AVIATION ROYALE CANADIENNE,2004,1,,,,,
DURASTAR TRUCK VAN 3T 4X2,L'AVIATION ROYALE CANADIENNE,2017,1,,,,,
DURASTAR TRUCK VAN 5T 4X2,L'AVIATION ROYALE CANADIENNE,2017,1,,,,,
DURASTAR TRUCK VAN 7T 4X2,L'AVIATION ROYALE CANADIENNE,2017,4,,,,,
EASTWAY TANK REFUELLER 7000 LBS,L'AVIATION ROYALE CANADIENNE,2013,3,,,,,
EASY HAULER CANOE TRAILER 500KG,L'AVIATION ROYALE CANADIENNE,2001,1,,,,,
ELGIN CROSSWIND ROTARY SWEEPER,L'AVIATION ROYALE CANADIENNE,2005,8,,,,,
ELGIN PELICAN SWEEPER ROTARY,L'AVIATION ROYALE CANADIENNE,2015,6,,,,,
E-ONE ARFFV FIRE TRACK 6000 LT,L'AVIATION ROYALE CANADIENNE,2012,11,,,,,
E-ONE ARFFV FIRE TRACK 6000 LT,L'AVIATION ROYALE CANADIENNE,2013,1,,,,,
E-ONE BRONTO FIRETRUCK,L'AVIATION ROYALE CANADIENNE,2006,1,,,,,
E-ONE FIRETRUCK,L'AVIATION ROYALE CANADIENNE,2013,6,,,,,
E-ONE FIRETRUCK 12000 LT,L'AVIATION ROYALE CANADIENNE,2008,1,,,,,
E-ONE FIRETRUCK 12000 LT,L'AVIATION ROYALE CANADIENNE,2009,1,,,,,
E-ONE FIRETRUCK 12000 LT,L'AVIATION ROYALE CANADIENNE,2010,3,,,,,
E-ONE FIRETRUCK 12000 LT,L'AVIATION ROYALE CANADIENNE,2011,2,,,,,
E-ONE FIRETRUCK 6000 LT,L'AVIATION ROYALE CANADIENNE,1995,2,,,,,
EPOKE TRAILER SPREADER,L'AVIATION ROYALE CANADIENNE,2016,9,,,,,
ESCO DATRON DOLLY,L'AVIATION ROYALE CANADIENNE,1997,3,,,,,
ESCO DATRON DOLLY,L'AVIATION ROYALE CANADIENNE,2000,3,,,,,
ESCO MOBILE AIR SHOWERS,L'AVIATION ROYALE CANADIENNE,2008,6,,,,,
ESCO MOBILE AIRCRAFT ARRESTING BARRIER,L'AVIATION ROYALE CANADIENNE,2011,10,,,,,
ESCO MOBILE RUNWAY,L'AVIATION ROYALE CANADIENNE,2008,6,,,,,
ESCO MOBILE RUNWAY,L'AVIATION ROYALE CANADIENNE,2011,6,,,,,
ESCO MOBILE RUNWAY,L'AVIATION ROYALE CANADIENNE,2015,4,,,,,
EXPRESS CUSTOM TRAILER 3500KG,L'AVIATION ROYALE CANADIENNE,2013,1,,,,,
EXPRESS LOW-BED TRAILER 3000KG 6M,L'AVIATION ROYALE CANADIENNE,1998,1,,,,,
EXPRESS STEEL FLAT-BED TRAILER,L'AVIATION ROYALE CANADIENNE,2005,1,,,,,
EXPRESS STEEL FLAT-DECK TRAILER,L'AVIATION ROYALE CANADIENNE,2007,1,,,,,
EZ BOAT LOADER TRAILER 500KG 4M,L'AVIATION ROYALE CANADIENNE,2002,1,,,,,
EZ LOADER BOAT TRAILER 250KG 4M,L'AVIATION ROYALE CANADIENNE,2003,1,,,,,
EZ LOADER BOAT TRAILER 500KG,L'AVIATION ROYALE CANADIENNE,1999,1,,,,,
FACTORY FLOOR SCRUBBER,L'AVIATION ROYALE CANADIENNE,2005,1,,,,,
